path,category,title,use,inspection,sections
.agents/skills/link-workspace-packages/SKILL.md,Agent tooling,Link Workspace Packages,Tool usage; no product scope,Tooling indexed; not product scope,Detect Package Manager; Workflow; pnpm; From consumer directory; Or with --filter from anywhere; yarn (v2+/berry); npm; bun; Examples; Notes
.agents/skills/monitor-ci/SKILL.md,Agent tooling,Monitor CI Command,Tool usage; no product scope,Tooling indexed; not product scope,Context; User Instructions; Configuration Defaults; Nx Cloud Connection Check; Step 0: Verify Nx Cloud Connection; Architecture Overview; Status Reporting; Anti-Patterns; Session Context Behavior; MCP Tool Reference; Default Behaviors by Status; Main Loop; Step 1: Initialize Tracking; Step 2: Polling Loop; 2a. Spawn subagent (FETCH_STATUS); 2b. Run decision script; 2c. Process script output; Step 3: Handle Actionable Status; Tool calls for actions; Step 3a: Track State for New-CI-Attempt Detection; Step 4: Cycle Classification and Progress Tracking; Progress Tracking; Error Handling; User Instruction Examples
.agents/skills/monitor-ci/references/fix-flows.md,Agent tooling,Detailed Status Handling & Fix Flows,Tool usage; no product scope,Tooling indexed; not product scope,Status Handling by Code; fix_auto_apply_skipped; fix_apply_ready; fix_needs_local_verify; fix_needs_review; fix_failed / no_fix; environment_issue; self_healing_throttled; no_new_cipe; cipe_no_tasks; Fix Action Flows; Apply via MCP; Apply Locally + Enhance Flow; Reject + Fix From Scratch Flow; Environment vs Code Failure Recognition; Git Safety; Commit Message Format
.agents/skills/nx-generate/SKILL.md,Agent tooling,Run Nx Generator,Tool usage; no product scope,Tooling indexed; not product scope,Key Principles; Steps; 1. Discover Available Generators; 2. Match Generator to User Request; 3. Get Generator Options; Library Buildability; 4. Read Generator Source Code; 5. Examine Existing Patterns; 6. Dry-Run to Verify File Placement; 7. Run the Generator; 8. Modify Generated Code (If Needed); 9. Format and Verify; these targets are just an example!
.agents/skills/nx-import/SKILL.md,Agent tooling,Quick Start,Tool usage; no product scope,Tooling indexed; not product scope,Import Strategy; Directory Conventions; Application vs Library Detection; Common Issues; pnpm Workspace Globs (Critical); Root Dependencies and Config Not Imported (Critical); TypeScript Project References; Explicit Executor Path Fixups; Plugin Detection; Redundant Root Files (Whole-Repo Only); Root ESLint Config Missing (Subdirectory Import); ESLint Version Pinning (Critical); Dependency Version Conflicts; Module Boundaries; Project Name Collisions (Multi-Import); Workspace Dep Import Ordering; `.gitkeep` Blocking Subdirectory Import; Frontend tsconfig Base Settings (Critical); `@nx/react` Typings for Libraries; Jest Preset Missing (Subdirectory Import); Target Name Prefixing (Whole-Repo Import); Non-Nx Source Issues; npm Script Rewriting (Critical); `noEmit` → `composite` + `emitDeclarationOnly` (Critical); Stale node_modules and Lockfiles; ESLint Config Handling; TypeScript `paths` Aliases; Technology-specific Guidance
.agents/skills/nx-import/references/ESLINT.md,Agent tooling,ESLint,Tool usage; no product scope,Tooling indexed; not product scope,How `@nx/eslint/plugin` Works; Duplicate `lint` and `eslint:lint` Targets; Legacy `.eslintrc.*` Configs Linting Generated Files; Flat Config `.cjs` Files Self-Linting; `typescript-eslint` Version Conflict With ESLint 9; Mixed ESLint v8 and v9 in One Workspace
.agents/skills/nx-import/references/GRADLE.md,Agent tooling,Gradle,Tool usage; no product scope,Tooling indexed; not product scope,
.agents/skills/nx-import/references/JEST.md,Agent tooling,Jest,Tool usage; no product scope,Tooling indexed; not product scope,How `@nx/jest` Works; Jest Preset; Testing Dependencies; Core (always needed); Environment-specific; React testing; React with Babel (non-ts-jest transform); Vue testing; `tsconfig.spec.json`; Jest vs Vitest Coexistence; `@testing-library/jest-dom` — Jest vs Vitest; Non-Nx Source: Test Script Rewriting; CI Atomization; Common Post-Import Issues; Fix Order; Subdirectory Import (Nx Source); Whole-Repo Import (Non-Nx Source)
.agents/skills/nx-import/references/NEXT.md,Agent tooling,Next.js,Tool usage; no product scope,Tooling indexed; not product scope,"`@nx/next/plugin` Inferred Targets; `withNx` in `next.config.js`; Root Dependencies for Next.js; Next.js Auto-Installing Dependencies via Wrong Package Manager; Next.js TypeScript Config Specifics; `next.config.js` Lint Warning; `@nx/next:init` Rewrites All npm Scripts (Whole-Repo Import); Non-Nx Source (create-next-app); Whole-Repo Import Recommended; `next-env.d.ts`; ESLint: Self-Contained `eslint-config-next`; TypeScript: No Changes Needed; `noEmit: true` and TS Solution Setup; Tailwind / PostCSS; Mixed Next.js + Vite Coexistence; Plugin Coexistence; Vite Standalone Project tsconfig Fixes; Typecheck Target Names; Fix Order — Nx Source (Subdirectory Import); Fix Order — Non-Nx Source (create-next-app); Iteration Log; Scenario 1: Basic Nx Next.js App Router + Shared Lib → TS preset (PASS); Scenario 3: Non-Nx create-next-app (App Router + Tailwind) → TS preset (PASS); Scenario 4: Non-Nx create-next-app (alongside Vite, React Router 7, TanStack, CRA) → TS preset (PASS); Scenario 5: Mixed Next.js (Nx) + Vite React (standalone) → TS preset (PASS)"
.agents/skills/nx-import/references/TURBOREPO.md,Agent tooling,Turborepo,Tool usage; no product scope,Tooling indexed; not product scope,The Config-as-Package Pattern; Check for Root Config Files First; Merging TypeScript Config (Only When Root tsconfig.base.json Exists); Merging ESLint Config (Only When Root eslint.config Exists); General Cleanup; Key Pitfalls
